Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),CO,Ozone,PM10,PM25,NO2,Year,Month,Month_Name,Year-Month,Week,Day
2024-08-05,51,Ozone,Delhi,4.987004548408057,51.0,16.0,44.0,28.0,2024.0,8.0,August,2024-08,32,Monday
2024-09-05,35,Ozone,Delhi,4.987004548408057,35.0,6.0,16.0,15.0,2024.0,9.0,September,2024-09,36,Thursday
2024-10-05,35,Ozone,Visakhapatnam,4.987004548408057,35.0,6.0,16.0,21.0,2024.0,10.0,October,2024-10,40,Saturday
2024-11-05,36,Ozone,Visakhapatnam,4.987004548408057,36.0,6.0,19.0,20.0,2024.0,11.0,November,2024-11,45,Tuesday
2024-12-05,35,Ozone,Visakhapatnam,4.987004548408057,35.0,6.0,22.0,16.0,2024.0,12.0,December,2024-12,49,Thursday
,43,Ozone,Visakhapatnam,4.987004548408057,43.0,11.0,31.0,18.0,,,,NaT,,
,67,Ozone,Visakhapatnam,5.0,67.0,16.0,38.0,17.0,,,,NaT,,
,40,Ozone,Visakhapatnam,5.0,40.0,9.0,26.0,24.0,,,,NaT,,
,38,Ozone,Delhi,1.0,38.0,8.0,19.0,13.0,,,,NaT,,
,49,Ozone,Bangalore,4.987004548408057,49.0,9.0,25.0,14.0,,,,NaT,,
,31,Ozone,Bangalore,2.0,31.0,6.0,19.0,7.0,,,,NaT,,
,29,Ozone,Bangalore,1.0,29.0,4.0,11.0,9.0,,,,NaT,,
,39,Ozone,Bangalore,4.987004548408057,39.0,9.0,23.0,18.0,,,,NaT,,
,67,Ozone,Visakhapatnam,4.987004548408057,67.0,17.0,43.0,22.0,,,,NaT,,
,119,Ozone,Visakhapatnam,4.987004548408057,119.0,19.0,47.0,27.0,,,,NaT,,
,52,PM2.5,Hyderabad,6.0,46.0,19.0,52.0,27.0,,,,NaT,,
,74,Ozone,Delhi,7.0,74.0,18.0,43.0,25.0,,,,NaT,,
,46,Ozone,Visakhapatnam,2.0,46.0,14.0,27.0,10.0,,,,NaT,,
,80,Ozone,Bangalore,4.987004548408057,80.0,16.0,52.0,9.0,,,,NaT,,
,37,Ozone,Delhi,3.0,37.0,11.0,31.0,10.0,,,,NaT,,
,45,Ozone,Delhi,3.0,45.0,14.0,33.0,19.0,,,,NaT,,
,37,Ozone,Delhi,4.987004548408057,37.0,8.0,21.0,18.0,,,,NaT,,
,34,Ozone,Bangalore,4.987004548408057,34.0,11.0,32.0,29.0,,,,NaT,,
,43,Ozone,Delhi,4.987004548408057,43.0,13.0,31.0,15.0,,,,NaT,,
2024-01-06,50,Ozone,Delhi,4.987004548408057,50.0,17.0,47.0,29.0,2024.0,1.0,January,2024-01,1,Saturday
2024-02-06,112,Ozone,Delhi,4.987004548408057,112.0,18.0,52.0,23.0,2024.0,2.0,February,2024-02,6,Tuesday
2024-03-06,93,Ozone,Delhi,4.987004548408057,93.0,21.0,55.0,25.0,2024.0,3.0,March,2024-03,10,Wednesday
2024-04-06,55,PM2.5,Hyderabad,4.987004548408057,48.0,22.0,55.0,22.0,2024.0,4.0,April,2024-04,14,Saturday
2024-05-06,64,Ozone,Bangalore,5.0,64.0,17.0,52.0,20.0,2024.0,5.0,May,2024-05,19,Monday
2024-06-06,34,Ozone,Delhi,3.0,34.0,10.0,30.0,17.0,2024.0,6.0,June,2024-06,23,Thursday
2024-07-06,54,Ozone,Bangalore,4.987004548408057,54.0,18.0,27.0,20.0,2024.0,7.0,July,2024-07,27,Saturday
2024-08-06,32,Ozone,Delhi,3.0,32.0,8.0,19.0,21.0,2024.0,8.0,August,2024-08,32,Tuesday
2024-09-06,37,Ozone,Bangalore,3.0,37.0,7.0,20.0,16.0,2024.0,9.0,September,2024-09,36,Friday
2024-10-06,29,Ozone,Delhi,3.0,29.0,7.0,21.0,13.0,2024.0,10.0,October,2024-10,40,Sunday
2024-11-06,27,Ozone,Visakhapatnam,1.0,27.0,6.0,21.0,13.0,2024.0,11.0,November,2024-11,45,Wednesday
2024-12-06,35,Ozone,Delhi,4.987004548408057,35.0,12.0,32.0,17.0,2024.0,12.0,December,2024-12,49,Friday
,115,Ozone,Bangalore,4.987004548408057,115.0,20.0,54.0,24.0,,,,NaT,,
,90,Ozone,Delhi,4.987004548408057,90.0,19.0,56.0,31.0,,,,NaT,,
,37,PM2.5,Hyderabad,4.987004548408057,36.0,12.0,37.0,14.0,,,,NaT,,
,44,Ozone,Bangalore,3.0,44.0,10.0,30.0,14.0,,,,NaT,,
,84,Ozone,Bangalore,2.0,84.0,17.0,47.0,19.0,,,,NaT,,
,105,Ozone,Bangalore,4.987004548408057,105.0,21.0,56.0,22.0,,,,NaT,,
,119,Ozone,Bangalore,5.0,119.0,23.0,53.0,29.0,,,,NaT,,
,185,Ozone,Bangalore,3.0,185.0,22.0,54.0,34.0,,,,NaT,,
,54,Ozone,Delhi,4.987004548408057,54.0,18.0,51.0,23.0,,,,NaT,,
,46,Ozone,Bangalore,4.987004548408057,46.0,15.0,44.0,15.0,,,,NaT,,
,52,PM2.5,Hyderabad,4.987004548408057,43.0,15.0,52.0,11.0,,,,NaT,,
,41,Ozone,Delhi,4.987004548408057,41.0,9.0,27.0,6.0,,,,NaT,,
,58,PM2.5,Bangalore,5.0,43.0,19.0,58.0,21.0,,,,NaT,,
,136,Ozone,Delhi,5.0,136.0,19.0,56.0,25.0,,,,NaT,,
,41,Ozone,Bangalore,3.0,41.0,10.0,25.0,16.0,,,,NaT,,
,41,Ozone,Bangalore,5.0,41.0,8.0,21.0,15.0,,,,NaT,,
,35,Ozone,Bangalore,5.0,35.0,11.0,28.0,10.0,,,,NaT,,
,42,Ozone,Delhi,3.0,42.0,11.0,33.0,16.0,,,,NaT,,
2024-01-07,30,Ozone,Delhi,4.987004548408057,30.0,8.0,21.0,7.0,2024.0,1.0,January,2024-01,1,Sunday
2024-02-07,38,Ozone,Bangalore,3.0,38.0,10.0,29.0,17.0,2024.0,2.0,February,2024-02,6,Wednesday
2024-03-07,48,Ozone,Bangalore,6.0,48.0,16.0,41.0,20.0,2024.0,3.0,March,2024-03,10,Thursday
2024-04-07,53,PM2.5,Hyderabad,5.0,44.0,16.0,53.0,11.0,2024.0,4.0,April,2024-04,14,Sunday
2024-05-07,61,PM2.5,Hyderabad,6.0,42.0,20.0,61.0,17.0,2024.0,5.0,May,2024-05,19,Tuesday
2024-06-07,52,PM2.5,Hyderabad,3.0,37.0,16.0,52.0,11.0,2024.0,6.0,June,2024-06,23,Friday
2024-07-07,54,PM2.5,Hyderabad,4.987004548408057,50.0,17.0,54.0,14.0,2024.0,7.0,July,2024-07,27,Sunday
2024-08-07,71,Ozone,Bangalore,4.987004548408057,71.0,16.0,50.0,18.0,2024.0,8.0,August,2024-08,32,Wednesday
2024-09-07,87,Ozone,Bangalore,4.987004548408057,87.0,20.0,56.0,27.0,2024.0,9.0,September,2024-09,36,Saturday
2024-10-07,46,PM2.5,Hyderabad,4.987004548408057,31.0,15.0,46.0,15.0,2024.0,10.0,October,2024-10,41,Monday
2024-11-07,112,Ozone,Delhi,4.987004548408057,112.0,12.0,38.0,22.0,2024.0,11.0,November,2024-11,45,Thursday
2024-12-07,45,Ozone,Bangalore,4.987004548408057,45.0,11.0,32.0,23.0,2024.0,12.0,December,2024-12,49,Saturday
,40,Ozone,Bangalore,4.987004548408057,40.0,9.0,25.0,12.0,,,,NaT,,
,49,PM2.5,Hyderabad,4.987004548408057,48.0,13.0,49.0,15.0,,,,NaT,,
,97,Ozone,Bangalore,4.987004548408057,97.0,19.0,58.0,25.0,,,,NaT,,
,115,Ozone,Delhi,4.987004548408057,115.0,17.0,52.0,11.0,,,,NaT,,
,71,Ozone,Bangalore,4.987004548408057,71.0,15.0,52.0,14.0,,,,NaT,,
,41,PM2.5,Bangalore,3.0,38.0,13.0,41.0,11.0,,,,NaT,,
,29,Ozone,Visakhapatnam,5.0,29.0,13.40467111534795,38.42054794520548,21.362118320610687,,,,NaT,,
,80,Ozone,Delhi,7.0,80.0,15.0,48.0,10.0,,,,NaT,,
,50,PM2.5,Hyderabad,7.0,44.0,14.0,50.0,7.0,,,,NaT,,
,52,PM2.5,Hyderabad,4.987004548408057,47.0,17.0,52.0,10.0,,,,NaT,,
,43,Ozone,Bangalore,4.987004548408057,43.0,10.0,36.0,5.0,,,,NaT,,
,34,Ozone,Bangalore,4.987004548408057,34.0,11.0,33.0,4.0,,,,NaT,,
,44,PM2.5,Hyderabad,4.987004548408057,41.0,13.0,44.0,6.0,,,,NaT,,
,31,Ozone,Delhi,4.987004548408057,31.0,9.0,29.0,14.0,,,,NaT,,
,64,PM2.5,Bangalore,4.987004548408057,36.0,22.0,64.0,13.0,,,,NaT,,
,73,PM2.5,Bangalore,4.987004548408057,36.0,26.0,73.0,11.0,,,,NaT,,
,59,PM2.5,Hyderabad,4.987004548408057,31.0,19.0,59.0,8.0,,,,NaT,,
,59,PM2.5,Hyderabad,4.987004548408057,47.0,24.0,59.0,8.0,,,,NaT,,
,47,Ozone,Bangalore,4.987004548408057,47.0,16.0,43.0,8.0,,,,NaT,,
2024-01-08,58,PM2.5,Bangalore,4.987004548408057,58.0,20.0,58.0,11.0,2024.0,1.0,January,2024-01,2,Monday
2024-02-08,71,Ozone,Delhi,4.987004548408057,71.0,22.0,59.0,11.0,2024.0,2.0,February,2024-02,6,Thursday
2024-03-08,46,Ozone,Delhi,4.987004548408057,46.0,13.0,38.0,8.0,2024.0,3.0,March,2024-03,10,Friday
2024-04-08,51,Ozone,Delhi,4.987004548408057,51.0,14.0,33.0,7.0,2024.0,4.0,April,2024-04,15,Monday
2024-05-08,53,PM2.5,Hyderabad,4.987004548408057,51.0,18.0,53.0,9.0,2024.0,5.0,May,2024-05,19,Wednesday
2024-06-08,47,PM2.5,Hyderabad,4.987004548408057,33.0,14.0,47.0,10.0,2024.0,6.0,June,2024-06,23,Saturday
2024-07-08,31,Ozone,Bangalore,4.987004548408057,31.0,10.0,29.0,10.0,2024.0,7.0,July,2024-07,28,Monday
2024-08-08,34,Ozone,Visakhapatnam,4.987004548408057,34.0,15.0,32.0,10.0,2024.0,8.0,August,2024-08,32,Thursday
2024-09-08,40,PM2.5,Bangalore,4.987004548408057,30.0,17.0,40.0,10.0,2024.0,9.0,September,2024-09,36,Sunday
2024-10-08,41,Ozone,Delhi,3.0,41.0,15.0,37.0,20.0,2024.0,10.0,October,2024-10,41,Tuesday
2024-11-08,43,Ozone,Delhi,5.0,43.0,13.0,33.0,13.0,2024.0,11.0,November,2024-11,45,Friday
2024-12-08,36,Ozone,Delhi,5.0,36.0,10.0,23.0,17.0,2024.0,12.0,December,2024-12,49,Sunday
,45,PM2.5,Hyderabad,5.0,28.0,15.0,45.0,20.0,,,,NaT,,
,64,PM2.5,Hyderabad,5.0,31.0,23.0,64.0,14.0,,,,NaT,,
,66,PM2.5,Bangalore,3.0,28.0,25.0,66.0,17.0,,,,NaT,,
,81,PM2.5,Hyderabad,4.987004548408057,42.0,35.0,81.0,17.0,,,,NaT,,
,76,PM2.5,Bangalore,4.987004548408057,38.0,29.0,76.0,12.0,,,,NaT,,
,66,PM2.5,Hyderabad,4.987004548408057,41.0,23.0,66.0,17.0,,,,NaT,,
,44,Ozone,Delhi,4.987004548408057,44.0,13.0,38.0,25.0,,,,NaT,,
,29,Ozone,Delhi,4.987004548408057,29.0,6.0,16.0,14.0,,,,NaT,,
,29,Ozone,Delhi,5.0,29.0,8.0,23.0,17.0,,,,NaT,,
,29,Ozone,Delhi,5.0,29.0,9.0,27.0,19.0,,,,NaT,,
,46,PM2.5,Hyderabad,6.0,39.0,14.0,46.0,24.0,,,,NaT,,
,56,PM2.5,Hyderabad,7.0,45.0,19.0,56.0,23.0,,,,NaT,,
,74,Ozone,Delhi,7.0,74.0,22.0,62.0,22.0,,,,NaT,,
,55,PM2.5,Hyderabad,4.987004548408057,45.0,17.0,55.0,26.0,,,,NaT,,
,56,PM2.5,Hyderabad,5.0,51.0,19.0,56.0,23.0,,,,NaT,,
,53,PM2.5,Hyderabad,5.0,50.0,18.0,53.0,23.0,,,,NaT,,
,28,Ozone,Bangalore,4.987004548408057,28.0,12.0,27.0,11.0,,,,NaT,,
,32,Ozone,Visakhapatnam,5.0,32.0,8.0,19.0,13.0,,,,NaT,,
,36,Ozone,Delhi,5.0,36.0,11.0,27.0,13.0,,,,NaT,,
2024-01-09,44,PM2.5,Bangalore,4.987004548408057,41.0,13.0,44.0,14.0,2024.0,1.0,January,2024-01,2,Tuesday
2024-02-09,31,PM2.5,Hyderabad,4.987004548408057,31.0,9.0,31.0,5.0,2024.0,2.0,February,2024-02,6,Friday
2024-03-09,37,Ozone,Delhi,3.0,37.0,8.0,21.0,23.0,2024.0,3.0,March,2024-03,10,Saturday
2024-04-09,33,PM2.5,Hyderabad,5.0,31.0,13.0,33.0,24.0,2024.0,4.0,April,2024-04,15,Tuesday
2024-05-09,37,Ozone,Bangalore,5.0,37.0,14.0,34.0,19.0,2024.0,5.0,May,2024-05,19,Thursday
2024-06-09,32,PM2.5,Hyderabad,4.987004548408057,32.0,13.0,32.0,15.0,2024.0,6.0,June,2024-06,23,Sunday
2024-07-09,31,Ozone,Bangalore,5.0,31.0,9.0,24.0,11.0,2024.0,7.0,July,2024-07,28,Tuesday
2024-08-09,34,Ozone,Delhi,5.0,34.0,6.0,16.0,17.0,2024.0,8.0,August,2024-08,32,Friday
2024-09-09,37,Ozone,Delhi,5.0,37.0,9.0,29.0,24.0,2024.0,9.0,September,2024-09,37,Monday
2024-10-09,40,Ozone,Bangalore,5.0,40.0,8.0,22.0,26.0,2024.0,10.0,October,2024-10,41,Wednesday
2024-11-09,42,Ozone,Delhi,3.0,42.0,12.0,27.0,22.0,2024.0,11.0,November,2024-11,45,Saturday
2024-12-09,48,Ozone,Bangalore,4.987004548408057,48.0,15.0,37.0,26.0,2024.0,12.0,December,2024-12,50,Monday
,93,Ozone,Delhi,4.987004548408057,93.0,15.0,41.0,25.0,,,,NaT,,
,53,PM2.5,Bangalore,4.987004548408057,44.0,16.0,53.0,25.0,,,,NaT,,
,49,PM2.5,Hyderabad,4.987004548408057,32.0,14.0,49.0,14.0,,,,NaT,,
,42,Ozone,Bangalore,4.987004548408057,42.0,14.0,33.0,20.0,,,,NaT,,
,40,Ozone,Bangalore,4.987004548408057,40.0,15.0,37.0,25.0,,,,NaT,,
,42,PM2.5,Hyderabad,4.987004548408057,36.0,17.0,42.0,25.0,,,,NaT,,
,46,Ozone,Bangalore,3.0,46.0,17.0,41.0,13.0,,,,NaT,,
,29,Ozone,Delhi,3.0,29.0,11.0,28.0,6.0,,,,NaT,,
,32,Ozone,Bangalore,2.0,32.0,7.0,21.0,4.0,,,,NaT,,
,33,Ozone,Bangalore,3.0,33.0,8.0,22.0,8.0,,,,NaT,,
,30,Ozone,Bangalore,3.0,30.0,10.0,25.0,13.0,,,,NaT,,
,32,Ozone,Bangalore,3.0,32.0,10.0,24.0,10.0,,,,NaT,,
,34,Ozone,Delhi,2.0,34.0,13.0,32.0,23.0,,,,NaT,,
,31,Ozone,Delhi,4.987004548408057,31.0,11.0,26.0,23.0,,,,NaT,,
,34,PM2.5,Hyderabad,4.987004548408057,32.0,11.0,34.0,22.0,,,,NaT,,
,34,Ozone,Bangalore,4.987004548408057,34.0,11.0,31.0,16.0,,,,NaT,,
,27,Ozone,Delhi,4.987004548408057,27.0,6.0,23.0,15.0,,,,NaT,,
,32,PM2.5,Bangalore,5.0,30.0,9.0,32.0,23.0,,,,NaT,,
2024-01-10,32,PM2.5,Hyderabad,5.0,31.0,11.0,32.0,17.0,2024.0,1.0,January,2024-01,2,Wednesday
2024-02-10,31,Ozone,Bangalore,6.0,31.0,11.0,28.0,27.0,2024.0,2.0,February,2024-02,6,Saturday
2024-03-10,39,PM2.5,Hyderabad,6.0,37.0,14.0,39.0,22.0,2024.0,3.0,March,2024-03,10,Sunday
2024-04-10,46,Ozone,Bangalore,6.0,46.0,14.0,38.0,23.0,2024.0,4.0,April,2024-04,15,Wednesday
2024-05-10,39,Ozone,Bangalore,5.0,39.0,9.0,28.0,18.0,2024.0,5.0,May,2024-05,19,Friday
2024-06-10,34,Ozone,Bangalore,4.987004548408057,34.0,9.0,29.0,15.0,2024.0,6.0,June,2024-06,24,Monday
2024-07-10,32,Ozone,Bangalore,5.0,32.0,12.0,30.0,23.0,2024.0,7.0,July,2024-07,28,Wednesday
2024-08-10,31,Ozone,Bangalore,6.0,31.0,8.0,22.0,30.0,2024.0,8.0,August,2024-08,32,Saturday
2024-09-10,31,Ozone,Bangalore,7.0,31.0,11.0,29.0,19.0,2024.0,9.0,September,2024-09,37,Tuesday
2024-10-10,16,Ozone,Bangalore,2.0,16.0,4.0,6.0,7.0,2024.0,10.0,October,2024-10,41,Thursday
2024-11-10,29,NO2,Hyderabad,6.0,26.0,7.0,17.0,29.0,2024.0,11.0,November,2024-11,45,Sunday
2024-12-10,37,Ozone,Bangalore,6.0,37.0,11.0,22.0,27.0,2024.0,12.0,December,2024-12,50,Tuesday
,25,PM2.5,Bangalore,4.987004548408057,19.0,7.0,25.0,22.0,,,,NaT,,
,20,Ozone,Bangalore,3.0,20.0,6.0,17.0,17.0,,,,NaT,,
,26,Ozone,Bangalore,3.0,26.0,5.0,13.0,19.0,,,,NaT,,
,29,Ozone,Bangalore,3.0,29.0,4.0,11.0,17.0,,,,NaT,,
,28,Ozone,Bangalore,5.0,28.0,11.0,27.0,26.0,,,,NaT,,
,34,PM2.5,Hyderabad,9.0,28.0,13.0,34.0,29.0,,,,NaT,,
,45,PM2.5,Hyderabad,11.0,28.0,16.0,45.0,29.0,,,,NaT,,
,50,PM2.5,Hyderabad,4.987004548408057,40.0,16.0,50.0,36.0,,,,NaT,,
,55,PM2.5,Hyderabad,4.987004548408057,50.0,26.0,55.0,46.0,,,,NaT,,
,74,Ozone,Bangalore,4.987004548408057,74.0,39.0,64.0,39.0,,,,NaT,,
,55,PM2.5,Hyderabad,4.987004548408057,44.0,20.0,55.0,30.0,,,,NaT,,
,33,PM2.5,Hyderabad,2.0,31.0,11.0,33.0,16.0,,,,NaT,,
,28,Ozone,Bangalore,6.0,28.0,10.0,21.0,26.0,,,,NaT,,
,37,Ozone,Bangalore,6.0,37.0,9.0,19.0,25.0,,,,NaT,,
,31,Ozone,Bangalore,6.0,31.0,6.0,18.0,28.0,,,,NaT,,
,39,PM2.5,Hyderabad,7.0,26.0,15.0,39.0,28.0,,,,NaT,,
,33,PM2.5,Hyderabad,4.987004548408057,33.0,14.0,33.0,18.0,,,,NaT,,
,53,PM2.5,Hyderabad,4.987004548408057,33.0,19.0,53.0,16.0,,,,NaT,,
,60,PM2.5,Hyderabad,4.987004548408057,46.0,25.0,60.0,25.0,,,,NaT,,
2024-01-11,38,PM2.5,Hyderabad,4.987004548408057,36.0,16.0,38.0,10.0,2024.0,1.0,January,2024-01,2,Thursday
2024-02-11,21,Ozone,Bangalore,4.987004548408057,21.0,3.0,9.0,8.0,2024.0,2.0,February,2024-02,6,Sunday
2024-03-11,31,Ozone,Bangalore,4.987004548408057,31.0,7.0,26.0,26.0,2024.0,3.0,March,2024-03,11,Monday
2024-04-11,39,PM2.5,Hyderabad,4.987004548408057,31.0,16.0,39.0,24.0,2024.0,4.0,April,2024-04,15,Thursday
2024-05-11,39,PM2.5,Hyderabad,4.987004548408057,34.0,17.0,39.0,22.0,2024.0,5.0,May,2024-05,19,Saturday
2024-06-11,39,PM2.5,Hyderabad,4.987004548408057,38.0,18.0,39.0,20.0,2024.0,6.0,June,2024-06,24,Tuesday
2024-07-11,31,Ozone,Bangalore,5.0,31.0,9.0,22.0,20.0,2024.0,7.0,July,2024-07,28,Thursday
2024-08-11,19,PM2.5,Hyderabad,6.0,39.00232018561485,9.0,19.0,19.0,2024.0,8.0,August,2024-08,32,Sunday
2024-09-11,31,Ozone,Bangalore,2.0,31.0,5.0,12.0,25.0,2024.0,9.0,September,2024-09,37,Wednesday
2024-10-11,41,PM2.5,Hyderabad,4.987004548408057,31.0,13.0,41.0,23.0,2024.0,10.0,October,2024-10,41,Friday
2024-11-11,29,Ozone,Bangalore,5.0,29.0,7.0,26.0,9.0,2024.0,11.0,November,2024-11,46,Monday
2024-12-11,31,Ozone,Bangalore,6.0,31.0,4.0,8.0,19.0,2024.0,12.0,December,2024-12,50,Wednesday
,32,Ozone,Bangalore,4.987004548408057,32.0,6.0,13.0,30.0,,,,NaT,,
,31,Ozone,Bangalore,4.987004548408057,31.0,7.0,19.0,26.0,,,,NaT,,
,32,Ozone,Bangalore,4.987004548408057,32.0,13.0,27.0,31.0,,,,NaT,,
,38,Ozone,Bangalore,4.987004548408057,38.0,6.0,14.0,32.0,,,,NaT,,
,34,Ozone,Bangalore,4.987004548408057,34.0,7.0,23.0,34.0,,,,NaT,,
,33,PM2.5,Hyderabad,4.987004548408057,32.0,11.0,33.0,31.0,,,,NaT,,
,34,PM2.5,Hyderabad,4.987004548408057,22.0,10.0,34.0,24.0,,,,NaT,,
,37,NO2,Hyderabad,4.987004548408057,24.0,11.0,29.0,37.0,,,,NaT,,
,22,Ozone,Bangalore,4.987004548408057,22.0,4.0,13.0,12.0,,,,NaT,,
,21,Ozone,Bangalore,5.0,21.0,6.0,16.0,21.0,,,,NaT,,
,26,Ozone,Bangalore,3.0,26.0,3.0,10.0,10.0,,,,NaT,,
,27,Ozone,Bangalore,2.0,27.0,1.0,4.0,5.0,,,,NaT,,
,26,NO2,Hyderabad,6.0,23.0,4.0,12.0,26.0,,,,NaT,,
,38,PM2.5,Hyderabad,8.0,6.0,10.0,38.0,24.0,,,,NaT,,
,40,PM2.5,Hyderabad,4.987004548408057,21.0,11.0,40.0,26.0,,,,NaT,,
,38,PM2.5,Hyderabad,4.987004548408057,22.0,8.0,38.0,22.0,,,,NaT,,
,27,PM2.5,Bangalore,4.987004548408057,26.0,6.0,27.0,22.0,,,,NaT,,
,31,PM2.5,Bangalore,4.987004548408057,27.0,6.0,31.0,19.0,,,,NaT,,
2024-01-12,42,PM2.5,Hyderabad,5.0,27.0,10.0,42.0,25.0,2024.0,1.0,January,2024-01,2,Friday
2024-02-12,35,PM2.5,Hyderabad,6.0,23.0,9.0,35.0,29.0,2024.0,2.0,February,2024-02,7,Monday
2024-03-12,31,PM2.5,Bangalore,2.0,30.0,7.0,31.0,25.0,2024.0,3.0,March,2024-03,11,Tuesday
2024-04-12,36,NO2,Hyderabad,6.0,39.00232018561485,12.0,29.0,36.0,2024.0,4.0,April,2024-04,15,Friday
2024-05-12,52,PM2.5,Hyderabad,5.0,39.00232018561485,16.0,52.0,25.0,2024.0,5.0,May,2024-05,19,Sunday
2024-06-12,33,Ozone,Bangalore,2.0,33.0,4.0,9.0,12.0,2024.0,6.0,June,2024-06,24,Wednesday
2024-07-12,32,PM2.5,Hyderabad,6.0,29.0,10.0,32.0,25.0,2024.0,7.0,July,2024-07,28,Friday
2024-08-12,53,PM2.5,Hyderabad,6.0,29.0,32.0,53.0,28.0,2024.0,8.0,August,2024-08,33,Monday
2024-09-12,58,PM2.5,Hyderabad,4.987004548408057,39.00232018561485,21.0,58.0,29.0,2024.0,9.0,September,2024-09,37,Thursday
2024-10-12,28,PM2.5,Hyderabad,4.987004548408057,13.0,6.0,28.0,16.0,2024.0,10.0,October,2024-10,41,Saturday
2024-11-12,31,Ozone,Bangalore,4.987004548408057,31.0,6.0,26.0,19.0,2024.0,11.0,November,2024-11,46,Tuesday
2024-12-12,31,Ozone,Bangalore,3.0,31.0,6.0,22.0,16.0,2024.0,12.0,December,2024-12,50,Thursday
,27,Ozone,Bangalore,3.0,27.0,6.0,22.0,25.0,,,,NaT,,
,42,PM2.5,Bangalore,3.0,24.0,9.0,42.0,32.0,,,,NaT,,
,55,PM2.5,Bangalore,4.987004548408057,15.0,14.0,55.0,26.0,,,,NaT,,
,56,PM2.5,Hyderabad,5.0,14.0,14.0,56.0,24.0,,,,NaT,,
,30,NO2,Hyderabad,6.0,39.00232018561485,8.0,27.0,30.0,,,,NaT,,
,50,PM2.5,Hyderabad,4.987004548408057,20.0,15.0,50.0,29.0,,,,NaT,,
,29,Ozone,Bangalore,2.0,29.0,4.0,17.0,14.0,,,,NaT,,
,24,PM2.5,Hyderabad,3.0,23.0,6.0,24.0,18.0,,,,NaT,,
,33,Ozone,Bangalore,2.0,33.0,5.0,18.0,8.0,,,,NaT,,
,31,Ozone,Bangalore,2.0,31.0,6.0,19.0,12.0,,,,NaT,,
,38,PM2.5,Hyderabad,6.0,22.0,17.0,38.0,35.0,,,,NaT,,
,60,PM2.5,Hyderabad,6.0,19.0,24.0,60.0,31.0,,,,NaT,,
,58,PM2.5,Bangalore,4.987004548408057,30.0,14.0,58.0,34.0,,,,NaT,,
,58,PM2.5,Bangalore,10.0,24.0,18.0,58.0,39.0,,,,NaT,,
,74,PM2.5,Hyderabad,10.0,14.0,43.0,74.0,41.0,,,,NaT,,
,75,PM2.5,Hyderabad,4.987004548408057,6.0,31.0,75.0,39.0,,,,NaT,,
,52,PM2.5,Hyderabad,4.987004548408057,36.0,14.0,52.0,29.0,,,,NaT,,
,36,Ozone,Bangalore,4.987004548408057,36.0,9.0,21.0,27.0,,,,NaT,,
,28,PM2.5,Hyderabad,6.0,23.0,11.0,28.0,28.0,,,,NaT,,
2025-01-01,27,Ozone,Bangalore,5.0,27.0,6.0,23.0,13.0,2025.0,1.0,January,2025-01,1,Wednesday
2025-02-01,25,Ozone,Bangalore,3.0,25.0,5.0,11.0,25.0,2025.0,2.0,February,2025-02,5,Saturday
2025-03-01,27,Ozone,Bangalore,5.0,27.0,6.0,19.0,20.0,2025.0,3.0,March,2025-03,9,Saturday
2025-04-01,34,Ozone,Bangalore,5.0,34.0,4.0,10.0,12.0,2025.0,4.0,April,2025-04,14,Tuesday
2025-05-01,33,Ozone,Bangalore,4.987004548408057,33.0,3.0,11.0,7.0,2025.0,5.0,May,2025-05,18,Thursday
2025-06-01,29,Ozone,Bangalore,4.987004548408057,29.0,4.0,13.0,9.0,2025.0,6.0,June,2025-06,22,Sunday
2025-07-01,28,Ozone,Bangalore,4.987004548408057,28.0,6.0,12.0,6.0,2025.0,7.0,July,2025-07,27,Tuesday
2025-08-01,31,Ozone,Bangalore,4.987004548408057,31.0,4.0,8.0,3.0,2025.0,8.0,August,2025-08,31,Friday
2025-09-01,31,Ozone,Bangalore,4.987004548408057,31.0,6.0,11.0,3.0,2025.0,9.0,September,2025-09,36,Monday
2025-10-01,31,Ozone,Bangalore,4.987004548408057,31.0,5.0,14.0,25.0,2025.0,10.0,October,2025-10,40,Wednesday
2025-11-01,33,Ozone,Bangalore,4.987004548408057,33.0,7.0,29.0,27.0,2025.0,11.0,November,2025-11,44,Saturday
2025-12-01,35,PM2.5,Hyderabad,4.987004548408057,34.0,10.0,35.0,29.0,2025.0,12.0,December,2025-12,49,Monday
,62,PM2.5,Hyderabad,4.987004548408057,25.0,30.0,62.0,28.0,,,,NaT,,
,34,Ozone,Bangalore,2.0,34.0,10.0,28.0,27.0,,,,NaT,,
,34,Ozone,Bangalore,2.0,34.0,6.0,16.0,10.0,,,,NaT,,
,53,PM2.5,Hyderabad,6.0,22.0,20.0,53.0,29.0,,,,NaT,,
,68,PM2.5,Hyderabad,6.0,19.0,32.0,68.0,27.0,,,,NaT,,
,58,PM2.5,Hyderabad,4.987004548408057,30.0,22.0,58.0,21.0,,,,NaT,,
,31,Ozone,Bangalore,4.987004548408057,31.0,6.0,29.0,20.0,,,,NaT,,
,33,Ozone,Bangalore,3.0,33.0,6.0,19.0,25.0,,,,NaT,,
,56,PM2.5,Hyderabad,5.0,29.0,48.0,56.0,35.0,,,,NaT,,
,58,PM2.5,Hyderabad,6.0,25.0,33.0,58.0,32.0,,,,NaT,,
